id,group,label,links
"Collis,Adam W",HIDA,"Collis,Adam W",1
"Collofello,James Samuel",IAFSE,"Collofello,James Samuel",4
"Compton,Carolyn",CLAS,"Compton,Carolyn",2
"Connor,Carol Mcdonald",CLAS,"Connor,Carol Mcdonald",1
"Conrad,Cheryl Diane",CLAS,"Conrad,Cheryl Diane",4
"Conroy-Ben,Otakuye",IAFSE,"Conroy-Ben,Otakuye",1
"Cooke,Nancy Jaworski",IAFSE,"Cooke,Nancy Jaworski",5
"Coon,David Wayne",CONHI,"Coon,David Wayne",4
"Corbin,William Robert",CLAS,"Corbin,William Robert",2
"Corey,Frederick Charles",EVPP,"Corey,Frederick Charles",1
"Corley,Elizabeth",PUBSRV,"Corley,Elizabeth",2
"Corman,Steven Robert",CLAS,"Corman,Steven Robert",2
"Coseo,Paul Joseph",HIDA,"Coseo,Paul Joseph",1
"Cotter,Katie Lyn",PUBSRV,"Cotter,Katie Lyn",2
"Coursen,Jerry Lee",IAFSE,"Coursen,Jerry Lee",1
"Cox,Deborah J.",CISA,"Cox,Deborah J.",1
"Craig,Scotty Dale",IAFSE,"Craig,Scotty Dale",5
"Crespo,Noe Cuauhtemoc",CHS,"Crespo,Noe Cuauhtemoc",1
"Critchlow,Donald",CLAS,"Critchlow,Donald",1
"Crnic,Keith Alan",CLAS,"Crnic,Keith Alan",3
"Crook,Sharon Marie",CLAS,"Crook,Sharon Marie",1
"Crozier,Peter",IAFSE,"Crozier,Peter",3
"Cruz,Evelyn Haydee",LAW,"Cruz,Evelyn Haydee",1
"Culbertson,Robert John",CLAS,"Culbertson,Robert John",1
"Cutter,Robert Joe",CLAS,"Cutter,Robert Joe",1
"D'Souza,Gary Xavier",CLAS,"D'Souza,Gary Xavier",0
"Dahal,Som Nath",IAFSE,"Dahal,Som Nath",1
"Dahlen,Paul R",IAFSE,"Dahlen,Paul R",1
"Dahm,Werner J.",IAFSE,"Dahm,Werner J.",1
"Dai,Lenore L",IAFSE,"Dai,Lenore L",3
"Dale,Richard Eugene",PUBSRV,"Dale,Richard Eugene",1
"Dallett,Nancy",EVPP,"Dallett,Nancy",1
"Dalrymple,Michael S",OBF,"Dalrymple,Michael S",1
"Daly,Elizabeth Susanne",CLAS,"Daly,Elizabeth Susanne",0
"Daniels,Bryan",EVPP,"Daniels,Bryan",1
"Darnall,Nicole",PUBSRV,"Darnall,Nicole",2
"Das,Sumanta",IAFSE,"Das,Sumanta",1
"Dasgupta,Partha",IAFSE,"Dasgupta,Partha",1
"Daugherty,David B.",PUBSRV,"Daugherty,David B.",1
"Dauksher,William J.",IAFSE,"Dauksher,William J.",1
"Davidson,Joseph K",IAFSE,"Davidson,Joseph K",1
"Davies,Paul",CLAS,"Davies,Paul",2
"Davies,Pauline A",CLAS,"Davies,Pauline A",1
"Davis,Cathy L",CLAS,"Davis,Cathy L",1
"Davis,Kristina",CLAS,"Davis,Kristina",0
"Davis,Mary C",CLAS,"Davis,Mary C",1
"Davulcu,Hasan",IAFSE,"Davulcu,Hasan",3
"Day,Stephanie Lynn",ISTL,"Day,Stephanie Lynn",1
"De Los Santos Jr,Alfredo G",CLAS,"De Los Santos Jr,Alfredo G",1
"Decker,Scott Henderson",PUBSRV,"Decker,Scott Henderson",1
"Decourt,Boris",BDI,"Decourt,Boris",3
"Dedkova,Larisa",BDI,"Dedkova,Larisa",1
"Defaria,Rowan",HIDA,"Defaria,Rowan",1
"Delay,Dawn Ann",CLAS,"Delay,Dawn Ann",3
"Delmont,Matthew",CLAS,"Delmont,Matthew",2
"Dempster,Thomas A",IAFSE,"Dempster,Thomas A",2
"Deng,Shuguang",IAFSE,"Deng,Shuguang",3
"Desch,Steven",CLAS,"Desch,Steven",5
"Desouza,Kevin",PUBSRV,"Desouza,Kevin",1
"Deviche,Pierre",CLAS,"Deviche,Pierre",2
"Dey,Sandwip Kumar",IAFSE,"Dey,Sandwip Kumar",1
"Diaz,Rodolfo Enrique",IAFSE,"Diaz,Rodolfo Enrique",1
"Dickinson,Jared M",CHS,"Dickinson,Jared M",5
"Diehnelt,Chris W",BDI,"Diehnelt,Chris W",2
"Dietrich,Suzanne Wagner",ARTS,"Dietrich,Suzanne Wagner",1
"Dinu,Valentin",CHS,"Dinu,Valentin",5
"Dishion,Thomas",CLAS,"Dishion,Thomas",5
"Dixon,Shane Yahlu",EVPP,"Dixon,Shane Yahlu",1
"Doane,Leah D.",CLAS,"Doane,Leah D.",3
"Doebbeling,Bradley Niel",CHS,"Doebbeling,Bradley Niel",6
"Donhauser,Lindsey Gosma",GIOS,"Donhauser,Lindsey Gosma",1
"Dooley,Kevin John",WPC,"Dooley,Kevin John",2
"Dorman,Michael F",CHS,"Dorman,Michael F",2
"Dorn,Ronald I",CLAS,"Dorn,Ronald I",2
"Dorn,Sherman J",MLFTC,"Dorn,Sherman J",2
"Douglas,Ian",ISTL,"Douglas,Ian",2
"Dounskaia,Natalia",CHS,"Dounskaia,Natalia",2
"Doupe,Adam",IAFSE,"Doupe,Adam",3
"Drucker,Jeffery S",CLAS,"Drucker,Jeffery S",1
"Dubois,Raymond",CHS,"Dubois,Raymond",4
"Duell,Meghan Elizabeth",CLAS,"Duell,Meghan Elizabeth",1
"Duggan,Mary Anne",CLAS,"Duggan,Mary Anne",1
"Dunckley,Travis L",BDI,"Dunckley,Travis L",2
"Dunham,Emilie T",CLAS,"Dunham,Emilie T",0
"Dunlap,Daniel Robert",CLAS,"Dunlap,Daniel Robert",0
"Duran,Nicholas",ARTS,"Duran,Nicholas",1
"Durfee,Alesha D",CLAS,"Durfee,Alesha D",1
"Dwyer,Christian",CLAS,"Dwyer,Christian",2
"Eakin,Hallie C",GIOS,"Eakin,Hallie C",1
"Earl,Stevan Ross",GIOS,"Earl,Stevan Ross",1
"Early,Jessica Singer",CLAS,"Early,Jessica Singer",1
"Easson,Damien",CLAS,"Easson,Damien",1
"Ebrahimkhani,Mohammad Reza",IAFSE,"Ebrahimkhani,Mohammad Reza",2
"Edwards,Michael C",CLAS,"Edwards,Michael C",1
"Ehlenz,Meagan",CLAS,"Ehlenz,Meagan",1
"Eisenberg,Nancy",CLAS,"Eisenberg,Nancy",1
"Ekiss,Gale Barbara",CLAS,"Ekiss,Gale Barbara",1
"El Asmar,Mounir",IAFSE,"El Asmar,Mounir",5
"Elam,Kit K",CLAS,"Elam,Kit K",1
"Elkins-Tanton,Linda",CLAS,"Elkins-Tanton,Linda",4
"Elliott,Stephen Nelson",CLAS,"Elliott,Stephen Nelson",2
"Ellison,Leigh Anne",CLAS,"Ellison,Leigh Anne",2
"Ellsworth,Angela",HIDA,"Ellsworth,Angela",1
"Elser,James Joseph",CLAS,"Elser,James Joseph",3
